brand,Model,year,number_of_cylinders,engine_capacity_in_liters,engine_type,transmission,mixed_fuel_consumption_per_100_km_l,CO2_emissions_g/km
Alfa Romeo,159,2011,5,2.4,Diesel,Manual,7.3,
Alfa Romeo,159,2011,4,1.9,Diesel,Automatic,7.35,
Alfa Romeo,159,2011,5,2.4,Diesel,Manual,7.35,
Alfa Romeo,Stelvio,2020,4,2,Gasoline,Automatic,7.4,
Alfa Romeo,159,2011,4,1.9,Diesel,Automatic,7.45,
Alfa Romeo,164,1998,4,2,Gasoline,Manual,7.5,
Alfa Romeo,159,2011,5,2.4,Diesel,Manual,7.5,
Alfa Romeo,166,2007,5,2.4,Diesel,Manual,7.5,
Alfa Romeo,156,2007,4,1.9,Diesel,Manual,7.55,
Alfa Romeo,33,1994,4,1.4,Gasoline,Manual,7.6,
Alfa Romeo,33,1994,4,1.4,Gasoline,Manual,7.65,
Alfa Romeo,33,1994,4,1.5,Gasoline,Manual,7.75,
Alfa Romeo,159,2011,5,2.4,Diesel,Manual,7.75,
Alfa Romeo,33,1994,4,1.4,Gasoline,Manual,7.8,
Alfa Romeo,33,1994,4,1.7,Gasoline,Manual,7.8,
Alfa Romeo,33,1994,4,1.4,Gasoline,Manual,7.85,
Alfa Romeo,159,2011,5,2.4,Diesel,Manual,7.9,
Alfa Romeo,33,1994,4,1.5,Gasoline,Manual,8,
Alfa Romeo,164,1998,4,2,Gasoline,Manual,8,
Alfa Romeo,159,2011,4,1.8,Gasoline,Manual,8.15,
Alfa Romeo,159,2011,4,1.8,Gasoline,Manual,8.4,
Alfa Romeo,145,1999,4,1.4,Gasoline,Manual,8.5,
Alfa Romeo,145,2001,4,1.4,Gasoline,Manual,8.5,
Alfa Romeo,146,2001,4,1.4,Gasoline,Manual,8.5,
Alfa Romeo,145,1999,4,1.6,Gasoline,Manual,8.5,
Alfa Romeo,156,2007,4,1.6,Gasoline,Manual,8.5,
Alfa Romeo,GT,2010,4,1.7,Gasoline,Manual,8.5,
Alfa Romeo,MiTo,2013,4,1.4,Gasoline,Manual,8.6,
Alfa Romeo,159,2011,5,2.4,Diesel,Automatic,8.6,
Alfa Romeo,147,2004,4,1.6,Gasoline,Manual,8.7,
Alfa Romeo,147,2010,4,1.6,Gasoline,Manual,8.7,
Alfa Romeo,145,1999,4,2,Gasoline,Manual,8.75,
Alfa Romeo,145,1999,4,1.6,Gasoline,Manual,8.8,
Alfa Romeo,145,2001,4,1.6,Gasoline,Manual,8.8,
Alfa Romeo,147,2004,4,1.6,Gasoline,Manual,8.8,
Alfa Romeo,147,2010,4,1.6,Gasoline,Manual,8.8,
Alfa Romeo,156,2007,4,1.6,Gasoline,Manual,8.9,
Alfa Romeo,159,2011,4,1.7,Gasoline,Manual,8.9,
Alfa Romeo,156,2007,4,1.7,Gasoline,Manual,8.9,
Alfa Romeo,159,2011,5,2.4,Diesel,Automatic,8.9,
Alfa Romeo,146,2001,4,1.6,Gasoline,Manual,8.95,
Alfa Romeo,156,2007,4,1.6,Gasoline,Manual,9,
Alfa Romeo,GT,2010,4,2,Gasoline,Manual,9,
Alfa Romeo,164,1998,6,2,Gasoline,Manual,9,
Alfa Romeo,164,1998,6,3,Gasoline,Manual,9,
Alfa Romeo,145,1999,4,1.7,Gasoline,Manual,9.05,
Alfa Romeo,145,2001,4,1.7,Gasoline,Manual,9.05,
Alfa Romeo,146,2001,4,1.7,Gasoline,Manual,9.05,
Alfa Romeo,Giulia,2020,6,2.9,Gasoline,Automatic,9.05,
Alfa Romeo,159,2011,4,1.7,Gasoline,Manual,9.1,
Alfa Romeo,145,1999,4,1.7,Gasoline,Manual,9.15,
